order_id,date,region,product,quantity,unit_price,discount,payment_method
102389,2025-03-01,East,Laptop,3,53632.5,0.17,COD
102064,2025-02-22,North,Headphones,1,2766.39,0.23,Card
101685,2025-02-12,North,Headphones,1,3133.41,0.3,Card
104980,2025-05-06,East,Phone,1,28356.2,0.35,UPI
103928,2025-04-09,South,Headphones,1,2464.33,0.14,Wallet
102512,2025-03-04,East,Tablet,1,22436.62,0.3,Card
100186,2025-01-05,North,Camera,1,41989.26,0.26,Wallet
100305,2025-01-08,North,Headphones,1,3142.09,0.25,UPI
102181,2025-02-24,East,Headphones,1,2832.81,0.35,UPI
106095,2025-06-03,East,Tablet,1,21064.79,0.1,UPI
102740,2025-03-10,South,Smartwatch,1,7428.72,0.19,Wallet
105972,2025-05-31,East,Smartwatch,1,8558.13,0.27,Wallet
103272,2025-03-23,South,Camera,1,43063.95,0.15,COD
102116,2025-02-23,South,Phone,1,32147.12,0.2,UPI
101736,2025-02-13,South,Headphones,2,2764.36,0.24,Wallet
100343,2025-01-09,East,Laptop,1,66094.89,0.13,Wallet
104627,2025-04-27,South,Headphones,1,3140.92,0.24,Card
106520,2025-06-13,South,Camera,1,51602.37,0.17,UPI
106908,2025-06-23,North,Phone,1,31429.37,0.09,UPI
103707,2025-04-04,South,Phone,1,34063.48,0.07,UPI
100787,2025-01-21,North,Laptop,1,58739.42,0.07,Wallet
103565,2025-03-31,North,Camera,1,40969.83,0.06,UPI
100354,2025-01-09,West,Camera,1,43470.08,0.03,UPI
104935,2025-05-05,South,Headphones,1,3247.23,0.05,COD
102363,2025-03-01,South,Headphones,1,2466.56,0.14,Wallet
104464,2025-04-23,South,Smartwatch,1,7881.84,0.12,Card
106274,2025-06-07,North,Camera,1,49225.32,0.11,Wallet
100718,2025-01-19,West,Tablet,1,19034.76,0.15,UPI
103206,2025-03-22,North,Headphones,2,2590.45,0.35,Wallet
106863,2025-06-22,North,Headphones,1,3104.98,0.35,COD
